Company,Violation,Date,Action,Case Number,Link
America's Settlement Company,Failure  to enter RREAL transactions into database,2023-08-03,$2830  Civil Penalty,22223-AG23-0403-062,https://www.in.gov/idoi/files/enforcement/22223-AG23-0403-062.pdf
America's Title Corporation,Failure  to input Real Estate transaction into RREAL database,2020-04-09,$2050.00  Penalty,19029-AG20-0227-039,https://www.in.gov/idoi/files/enforcement/19029-AG20-0227-039b.pdf
"Anchor Title Services, Inc.",Lack of  Fitness/Trustworthiness,2007-08-17,$1029.77  Restitution,3601-AG07-0313-102,https://www.in.gov/idoi/files/enforcement/3601-AG07-0313-102b.pdf
"Anthem Insurance Companies, Inc",Unfair  Claim Settlement,2003-12-22,"$50,000.00  fine",IDOI-CO03-025,https://www.in.gov/idoi/files/enforcement/IDOI-CO03-025b.pdf
"A-ONE Title, LLC",Agency Exam,2012-03-19,$250 Administrative Fine,10845-AG12-0110-003,https://www.in.gov/idoi/files/enforcement/10845%20a%20one%20title%20fo_001.pdf
Apartment Ins Concultants LLC,Surplus  Lines Tax Violation,2017-01-20,Suspension  Order,15920-AG17-0109-016,https://www.in.gov/idoi/files/enforcement/15920-AG17-0109-016.pdf
Arch Excess & Surplus Insurance Company,Market Conduct Exam,2009-06-02,$2.6 Million to Patient Compensation Fund,IDOI-MC07-0627-042,https://www.in.gov/idoi/files/enforcement/Arch%20Final%20Order%206-2-09.pdf
"Armfield, Harrison & Thomas, Inc.",Failure  to Provide List of Appointments,2008-01-22,License  Suspended,5690-AG08-0108-007,https://www.in.gov/idoi/files/enforcement/5690-AG08-0108-007b.pdf
Ascension Dental Partners LLC,Selling Insurance Without a License,2018-04-27,"$15,996  Fine",17025-AG18-0412-059,https://www.in.gov/idoi/files/enforcement/17025-AG18-0412-059.pdf
"Associated Title, LLC",Failure  to Provide List of Appointments,2011-02-28,License  Suspended,8097-AG10-0211-026,https://www.in.gov/idoi/files/enforcement/8097-AG10-0211-026b.pdf
"Association for Independent Managers, Inc.",No License,2010-03-31,Emergency Cease & Desist Order.,9181-CO10-0330-004,https://www.in.gov/idoi/files/enforcement/9181%20em%20cd_001.pdf
"Association of Franchise & Independent  Distributors, LLC.",No License,2010-09-29,Permanent Cease & Desist,7861-AG09-1109-229; 8534-AG09-1109-230,https://www.in.gov/idoi/files/enforcement/7861%20speny%20%20assoc%20fo_001.pdf
"Atlantic Assurance of Virginia, LLC",Failure  to Provide List of Appointments,2007-09-10,License  Suspended,5637-AG07-0827-240,https://www.in.gov/idoi/files/enforcement/5637-AG07-0827-240b.pdf
"Attorneys Title Agency of Indiana, LLC",Failure  to enter RREAL transactions into database,2016-01-29,$2760.00  Penalty,14593-AG15-1217-311,https://www.in.gov/idoi/files/enforcement/14593-AG15-1217-311b.pdf
"Aurora Insurance Agency, LLC",Misappropriation  of Premiums,2011-06-11,License  Suspended,10328-AG11-0624-089,https://www.in.gov/idoi/files/enforcement/10328-AG11-0624-089b.pdf
Auto-Owners Insurance Company,Claim Handling,2011-04-15,Settlement Per Agreed Entry,10202-CO11-0330-006,https://www.in.gov/idoi/files/enforcement/10202%20alfavision%20fo_001.pdf
Bancmark Financial Corp.,Unlicensed  Insurance Solicitation.,2008-01-22,$1500.00  Fine,3323-AG07-1212-301,https://www.in.gov/idoi/files/enforcement/3323-AG07-1212-301b.pdf
Bankers Life and Casualty Company,Lack of  Fitness/ Trustworthiness,2007-05-01,$2000.00  Fine and $4569.00 Restitution,5497-CO07-0411-002,https://www.in.gov/idoi/files/enforcement/5497-CO07-0411-002b.pdf
Barrister Title Group LLC,Failure  to enter RREAL Transactions,2014-02-21,$2250  Civil Penalty,12473-AG13-1227-154,https://www.in.gov/idoi/files/enforcement/12473%20barrister%20title.pdf
"Barristers Equity, Inc.",Failure  to submit lists of appointments,2007-09-10,License  Suspension,5616-AG07-0827-221,https://www.in.gov/idoi/files/enforcement/5616-AG07-0827-221b.pdf
"BCHH, Inc",Failed  to Provide List of Appointments,2011-02-28,Suspension Order,8111-AG10-0211-028,https://www.in.gov/idoi/files/enforcement/8111%20BCHH%20sus.pdf
"Beckman & Associates, Inc.",Unauthorized  Practice of Law,2009-05-21,Land  Conveyances Cease & Desist Order,6492-AG09-0428-080,https://www.in.gov/idoi/files/enforcement/6492-AG09-0428-080b.pdf
Beldon Agency Inc.,Misappropriation of Premium,2000-09-22,Permanent Revocation,197-AG00-130,https://www.in.gov/idoi/files/enforcement/197-AG00-130b.pdf
"Benefits, Inc.",Other  states action,2021-05-12,$250.00  fine,20243-AG21-0205-026,https://www.in.gov/idoi/files/enforcement/20243-AG21-0205-026.pdf
"Best Title Services, LLC",Employed  Non-Licensed Agent,2016-08-19,Fine  $7050.00,15441-AG16-0801-150,https://www.in.gov/idoi/files/enforcement/15441-AG16-0801-150b.pdf
"Bodkin Abstract Co., Inc.",Failure  to input Real Estate transaction into RREAL database,2015-03-16,$1100.00  fine,13677-AG15-0303-077,https://www.in.gov/idoi/files/enforcement/13677-AG15-0303-077b.pdf
Bradley Thomas and Thomas & Associates  Inc.,Resident  License Revoked,2015-06-05,Nonrenewal  of License,13921-AG15-0603-146,https://www.in.gov/idoi/files/enforcement/13921%20bradley%20thomas.pdf
Brazos Specialty Risk Inc,Failure  to Disclose Other States Action,2015-03-20,Fined  $500,13838-AG15-0217-025,https://www.in.gov/idoi/files/enforcement/13838%20brazos.pdf
"Brendenwood Financial Brokerage, LLC",Failure  to Provide List of Appointments,2020-07-09,License  Suspension,19144-AG20-0506-079,https://www.in.gov/idoi/files/enforcement/19144-AG20-0506-079.pdf
"Brown Abstract Company, LLC",Lack of Fitness/Trustworthiness,2012-03-14,$500 Administrative Fine; 6 Months Probation,10875-AG12-0118-010,https://www.in.gov/idoi/files/enforcement/10875%20brown%20abst%20fo_001.pdf
BRPS Title LLC,Failure  to Enter RREAL IN into database,2018-06-15,"$2,100  Fine",16987-AG18-0530-092,https://www.in.gov/idoi/files/enforcement/16987-AG18-0530-092.pdf
"Bures & Associates, Inc.",Misappropriation of Premium,2010-09-21,Permanent Revocation of License,8483-AG09-1216-244,https://www.in.gov/idoi/files/enforcement/8483%20bures%20fo_001.pdf
"Can't Break Eight, Inc., d.b.a. Insurance  Solutions P&C",Lack of Fitness/Trustworthiness,2007-09-13,License Permanently Revoked,5404-AG07-0411-113,https://www.in.gov/idoi/files/enforcement/5404-AG07-0411-113e.pdf
"Carpenter Title Agency, Inc.",Preparing  Land Conveyances,2008-04-08,Cease  & Desist Order,6171-AG08-0122-015,https://www.in.gov/idoi/files/enforcement/6171-AG08-0122-015b.pdf
"CASI, Inc.",Misappropriation  of Premiums,2006-06-29,License  permanently Revoked,3218-AG06-0308-038,https://www.in.gov/idoi/files/enforcement/3218-AG06-0308-038b.pdf
"Cathedral International Brokers, LLC",Surplus  Lines Tax Violation,2015-03-20,Suspension  Lifted,13737-AG15-0303-061,https://www.in.gov/idoi/files/enforcement/13737-AG15-0303-061b.pdf
CC Services Inc,Failure  to disclose in a timely manner Other states action,2020-01-16,$250.00  Fine,18839-AG19-1121-182,https://www.in.gov/idoi/files/enforcement/18839-AG19-1121-182.pdf
"Center Realty Services, Inc",Unlicensed  Agency,2013-06-18,$500  Civil Penalty,12169-AG13-0607-045,https://www.in.gov/idoi/files/enforcement/12169%20center%20realty.pdf
"CEO Clubs, Inc.",No License,2010-03-31,Emergency Cease & Desist Order.,9181-CO10-0330-004,https://www.in.gov/idoi/files/enforcement/9181%20em%20cd_001.pdf
Charles L Crane Agency Co.,Selling Insurance Without a License,2017-09-29,$250  Fine,16120-AG17-0515-115,https://www.in.gov/idoi/files/enforcement/16120-AG17-0515-115.pdf
Chicago Title Co. LLC,Failure to enter RREAL transactions into database,2023-09-26,$16070 fine,22235-AG23-0719-099,https://www.in.gov/idoi/files/enforcement/22235-AG23-0719-099.pdf
Church Life Insurance Corporation,Failure  to pay Tax,2005-01-24,$36000.00  Tax Agreement,1821-CO05-001,https://www.in.gov/idoi/files/enforcement/1821-CO05-001b.pdf
Cincinnati Life Insurance Company,Race-based  Settlement,2004-06-25,$1000.00  fine,1496-CO04-005,https://www.in.gov/idoi/files/enforcement/1496-CO04-005b.pdf
Claims Management  Inc.,Not  Required to Provide Appointments,2017-09-15,Vacate  Suspension Order,16290-AG17-0808-158,https://www.in.gov/idoi/files/enforcement/16290-AG17-0808-158.pdf
Clear Title Company,Failure  to input Real-Estate policies into the RREAL-IN database,2015-05-15,$770  fine,13912-AG15-0420-106,https://www.in.gov/idoi/files/enforcement/13912-AG15-0420-106.pdf
"ClearEdge Title, Inc",Failure  to enter RREAL transactions into database,2023-11-29,$2640.00 Civil Penalty,22449-AG23-1005-140,https://www.in.gov/idoi/files/enforcement/22449-AG23-1005-140.pdf
"Closeline, LLC",Failure  to enter RREAL transactions into database,2023-11-02,$1820.00 Civil Penalty,22448-AG23-0913-127,https://www.in.gov/idoi/files/enforcement/22448-AG23-0913-127.pdf
"Columbia Title, Inc.",Failure  to enter Transactions into the RREAL IN,2015-09-21,"$2,800  Administrative Penalty",14167-AG15-0806-221,https://www.in.gov/idoi/files/enforcement/14167-AG15-0806-221.pdf
"Columbian Insurance Services, Inc.",Misappropriation  of Premiums,2008-10-08,License  Revoked $3000.00 Fine,5201-AG08-0110-008,https://www.in.gov/idoi/files/enforcement/5201-AG08-0110-008b.pdf
"Complete Title Services of Southern  Indiana, LLC",Failure  to Enter RREAL IN,2015-01-23,$1040  Civil Penalty,13345-AG14-1114-206,https://www.in.gov/idoi/files/enforcement/13345%20complete%20title.pdf
Conestoga Title Company of Grant County,Failure  to Provide List of Appointments,2009-03-31,License  Suspension,7868-AG09-0317-061,https://www.in.gov/idoi/files/enforcement/7868-AG09-0317-061b.pdf
"Consolidated Insurance Group, Inc.",Marketing  and Sales,2002-07-12,Vacate  Suspension Order,1052-AG02-052,https://www.in.gov/idoi/files/enforcement/1052-AG02-052b.pdf
"Consumer Health Solutions, LLC a.k.a. CHS,  LLC",No  License,2006-08-18,Cease  & Desist Order,3383-AG06-0619-091,https://www.in.gov/idoi/files/enforcement/3383-AG06-0619-091b.pdf
Continental Casualty Company,Improper  Claim Handling,2003-07-22,"10,000.00  Fine",561-CO03-001,https://www.in.gov/idoi/files/enforcement/561-CO03-001b.pdf
Cooperative Group Benefits Plan,Late  Registration,2005-12-20,$1168.00  Restitution/$3000.00 fine,1796-CO05-0201-010,https://www.in.gov/idoi/files/enforcement/1796-CO05-0201-010b.pdf
"Cornerstone Financial Partners, LLC",Other  states action,2021-11-03,Nonrenewal  of License,20286-AG21-0924-184,https://www.in.gov/idoi/files/enforcement/20286-AG21-0924-184.pdf
"Counselors Title Company, LLC",Non-Compliance,2008-02-07,$200.00  Fine,5607-AG07-0827-226,https://www.in.gov/idoi/files/enforcement/5607-AG07-0827-226b.pdf
"Criterion Claims Solutions of Omaha, NE",Unlicensed  Independent Adjuster,2017-11-14,Emergency  Cease & Desist Order.,16564-IA17-1025-003,https://www.in.gov/idoi/files/enforcement/16564-IA17-1025-003.pdf
CU Title Services,Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-04-12,Fine  $8489.00,15094-AG16-0315-047,https://www.in.gov/idoi/files/enforcement/15094-AG16-0315-047b.pdf
Daviess County Abstract Co. Inc.,Failed  to Enter Transactions into RREAL IN,2022-07-28,Fine,21283-AG22-0608-092,https://www.in.gov/idoi/files/enforcement/21283-AG22-0608-092.pdf
"Daviess County Abstract Company, Inc.",Employed  Non-Licensed Agent,2014-06-13,$898.00  Fine,12491-AG14-0501-072,https://www.in.gov/idoi/files/enforcement/12491-AG14-0501-072b.pdf
Directpath LLC,Other  states action,2020-07-01,1 year  probation/list of appt. every 6 months/$250.00 fine,19115-AG20-0316-056,https://www.in.gov/idoi/files/enforcement/19115-AG20-0316-056.pdf
"Diversified Employee Solutions, LLC",No  License,2007-10-24,Cease  & Desist Order,3319-AG07-1022-279,https://www.in.gov/idoi/files/enforcement/3319-AG07-1022-279d.pdf
"Double Eagle Agency, Inc.",Failure  to report Other states action,2021-02-18,$500.00  Penalty,19532-AG20-0716-115,https://www.in.gov/idoi/files/enforcement/19532-AG20-0716-115.pdf
"Douglass & Nelson, Inc.",Employed  Non-Licensed Agent,2014-08-01,Administrative  Penalty $2660.00,12907-AG14-0424-064,https://www.in.gov/idoi/files/enforcement/12907-AG14-0424-064b.pdf
"Dubois County Title Company, Inc",Failure  to adhere to the good funds law,2015-04-30,"$1,000 Fine",13901-AG15-0409-096,https://www.in.gov/idoi/files/enforcement/13901%20dubois%20county.pdf
"Ed Young & Associates, LLC",Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110f.pdf
"Emergency Services, LLC",Acting  as Public Adjusters W/O Certification,2020-07-09,Cease  & Desist Order,19288-PA20-0506-002,https://www.in.gov/idoi/files/enforcement/19288-PA20-0506-002b.pdf
"Empire Title, Inc.",Termination for Cause,2011-07-20,Permanent Revocation of License,10326-AG11-0622-088,https://www.in.gov/idoi/files/enforcement/10326%20empire%20fo_001.pdf
"Epsilon Global, Inc.",Failure  to Provide List of Appointments,2015-04-02,Suspension  Lifted,13742-AG15-0303-065,https://www.in.gov/idoi/files/enforcement/13742-AG15-0303-065b.pdf
"Equity Partners, Inc",Lack of Fitness/Trustworthiness,2011-08-09,Nonrenewal of License,8545-AG11-0808-101,https://www.in.gov/idoi/files/enforcement/8545%20equity%20nonrnew_001.pdf
"Ewbank Land Title, Inc.",Agency Exam,2011-12-02,$250 Administrative Fine,10600-AG11-1003-134,https://www.in.gov/idoi/files/enforcement/10600%20ewbank%20title%20fo_001.pdf
"Exact Adjusting, LLC",Not  Licensed,2013-05-29,Cease  & Desist Order,12243-PA13-0523-002,https://www.in.gov/idoi/files/enforcement/12243-PA13-0523-002.pdf
"Executive Escrow Company, Inc.",Misappropriation  of Premiums,2009-10-14,"License  permanently Revoked/$30,000.00 fine",5741-AG07-0627-155,https://www.in.gov/idoi/files/enforcement/5741-AG07-0627-155b.pdf
Family First Insurance Services,Other  states action,2008-04-07,Nonrenewal  of License,6660-AG08-0331-098,https://www.in.gov/idoi/files/enforcement/6660-AG08-0331-098b.pdf
"Federated Land Title Agency, LLC",Non  compliance with licensing,2007-10-29,$250.00  fine,5653-AG07-0910-253,https://www.in.gov/idoi/files/enforcement/5653-AG07-0910-253b.pdf
"Fig Financial Insurance Group, Inc.",Other  states action,2021-05-25,License  Denial,19586-AD20-0924-132,https://www.in.gov/idoi/files/enforcement/19586-AD20-0924-132.pdf
"First Advantage Title, LLC",Agency Exam,2009-05-21,$500 Civil Penalty,6681-AG09-0428-082,https://www.in.gov/idoi/files/enforcement/6681%20first%20fo.pdf
First Chicago Insurance Company,Claim Handling,2010-10-07,"$2,500 Administrative Fine",9684-CO10-0913-011,https://www.in.gov/idoi/files/enforcement/9684%20first%20chicago%20fo_001.pdf
"First Horizon Insurance Group, Inc.",Surplus Lines Violation,2008-04-15,$2500 Fine,5887-AG07-1218-319,https://www.in.gov/idoi/files/enforcement/5887-AG07-1218-319b.pdf
"First Title & Escrow, Inc",Misappropriation of Premium,2017-12-04,"$3,367  Fine",16433-AG17-1025-203,https://www.in.gov/idoi/files/enforcement/16433-AG17-1025-203.pdf
"First Title of Indiana, Inc.",Lack of Fitness/Trustworthiness,2012-06-11,"$4,000 Administrative Fine",10971-AG12-0312-021,https://www.in.gov/idoi/files/enforcement/10971%20first%20title%20fo_201206111426.pdf
"Foundation Title Company, LLC",Employed  Non-Licensed Agent,2009-02-19,$500.00  fine,7334-AG09-0115-011,https://www.in.gov/idoi/files/enforcement/7334-AG09-0115-011b.pdf
Founders Insurance Company,Claim  Handling,2005-10-05,Agreed  to correct Business Practice,1770-CO05-0215-004,https://www.in.gov/idoi/files/enforcement/1770-CO05-0215-004c.pdf
Franklin St. Insurance Services LLC,Failure  to Disclose Administrative Action,2016-02-29,Fine  $500,14810-AG16-0106-001,https://www.in.gov/idoi/files/enforcement/14810-AG16-0106-001.pdf
"Freedom Title Company, Inc",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-06-10,Fine  $1000.00,15185-AG16-0502-113,https://www.in.gov/idoi/files/enforcement/15185-AG16-0502-113b.pdf
Freibert & Mattingly Title Group LLC,Not  Reporting RREAL IN and employing non license individuals,2015-01-09,$2467  Civil Penalty,12986-AG14-0903-154,https://www.in.gov/idoi/files/enforcement/12986%20freibert%20&%20mattingly.pdf
Fresenius Health Plans Insurance Co.,Failure  to Timely File,2018-12-28,"$50,000  Fine",17470-CO18-0808-003,https://www.in.gov/idoi/files/enforcement/17470-CO18-0808-003.pdf
Futurity First Ins. Group,reporting  of actions,2016-04-14,$250  fine,15153-AG16-0330-080,https://www.in.gov/idoi/files/enforcement/15153-AG16-0330-080.pdf
Gagliardi Insurance Services,No  License in Home State,2022-03-28,License  Suspension,20308-AG22-0311-045,https://www.in.gov/idoi/files/enforcement/20308-AG22-0311-045.pdf
Galaher Settlements and Insurance Services,Failure  to Report Administration Action,2016-09-30,$250  Fine,15508-AG16-0809-154,https://www.in.gov/idoi/files/enforcement/15508-AG16-0809-154.pdf
Geneve Insurance Company,Unfair  Claims,2006-11-21,"Claim  Settlement of $2,073.18.",3830-CO06-1027-011,https://www.in.gov/idoi/files/enforcement/3830-CO06-1027-011b.pdf
Golden Rule Insurance Company,Claim Handling,2012-04-18,Ordered to Comply With Title 27,10623-CO12-0319-007,https://www.in.gov/idoi/files/enforcement/10623%20golden%20rule%20fo_001.pdf
"Golf Marketing Worlkwide, LLC",No  License,2007-06-26,"$85,000.00  fine/Cease & Desist",3858-CO06-1127-012,https://www.in.gov/idoi/files/enforcement/3858-CO06-1127-012b.pdf
"Goodcents Financial Solutions, LLC",No  License,2007-09-11,Cease  & Desist Order,3928-AG07-0816-216,https://www.in.gov/idoi/files/enforcement/3928-AG07-0816-216b.pdf
Griffith-Catlett Hampton Inc,"Providing  incorrect, misleading, incomplete, or materially untrue information in a  license application",2016-02-12,$250.00  fine,14201-AG15-0605-159,https://www.in.gov/idoi/files/enforcement/14201-AG15-0605-159.pdf
Group Health Care,No License,2008-11-21,Cease & Desist Order,6587-AG08-1119-281,https://www.in.gov/idoi/files/enforcement/6587_cd_001.pdf
Guardians for Living Corporation,Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110i.pdf
GWN Marketing Inc.,Failed  to disclose administrative action on app,2022-10-26,$250  civil penalty,21645-AG22-0803-137,https://www.in.gov/idoi/files/enforcement/21645-AG22-0803-137.pdf
"Hale Abstract Company, Inc.",Resident Agency Exam,2012-09-12,$750 Administrative Fine,11488-CO12-0823-017,https://www.in.gov/idoi/files/enforcement/11488%20hale%20fo.pdf
"Hallberg Insurance Agency, Inc.",Use of  Unauthorized Insurance Agents,2006-03-14,Use only  licensed Producer $2500.00 fine/$400.00 legal fee/$1060.63 Restitution,3068-AG06-0206-019,https://www.in.gov/idoi/files/enforcement/3068-AG06-0206-019b.pdf
"Hamilton Title Security, LLC",Lack of  Fitness/Trustworthiness,2007-11-09,$1000.00  fine,5848-AG07-0906-249,https://www.in.gov/idoi/files/enforcement/5848-AG07-0906-249b.pdf
"Hanasab Insurance Services, Inc.",Failed  to disclose,2016-07-08,$250  Fine,15425-AD16-0613-040,https://www.in.gov/idoi/files/enforcement/15425-AD16-0613-040.pdf
"HBI Title Services, Inc.",Misappropriations  of Premium,2021-05-26,Restitution  of Overcharges/($6932.54)/Civil Penalty $6763.00,19983-AG21-0308-053,https://www.in.gov/idoi/files/enforcement/19983-AG21-0308-053.pdf
Health Scope Benefits Inc,Failure  to report administrative actions,2016-06-30,$1750  fine,15142-AG16-0330-079,https://www.in.gov/idoi/files/enforcement/15142-AG16-0330-079.pdf
Healthcare Industry Liability Reciprocal  Insurance Company,Market Conduct Exam,2009-06-25,"$500,000 to Patient Compensation Fund",MC IDOI-0606-031,https://www.in.gov/idoi/files/enforcement/healthcare%20mc_001.pdf
"Herzog Enterprises, Inc",Marketing  and Sales and Untrustworthiness,2000-06-09,Permanent  Revocation/$5000.00 fine and $1550.00 refund,120-IDOI-AG99-015,https://www.in.gov/idoi/files/enforcement/120-IDOI-AG99-015b.pdf
Hewitt Associates LLC,Failure  to submit list of appointments,2008-08-29,Vacate  Suspension Order,6228-AG07-1213-305,https://www.in.gov/idoi/files/enforcement/6228-AG07-1213-305b.pdf
"Home Closings, Inc.",Selling  with an Expired License,2014-08-20,Civil  Penalty $2214.00,13096-AG14-0715-138,https://www.in.gov/idoi/files/enforcement/13096-AG14-0715-138b.pdf
Homesite Insurance Company of the Midwest,Unfair Insurance Practices,2011-05-09,$3000 Administrative Fine; Return Overcharged  Premium,10195-CO11-0329-005,https://www.in.gov/idoi/files/enforcement/10195%20homesite%20fo_001.pdf
"Honeycreek Vigo Title Services, Inc.",Employed  Non-Licensed Agent,2013-01-07,$250.00  Fine,11758-AG12-1220-116,https://www.in.gov/idoi/files/enforcement/11758-AG12-1220-116b.pdf
Hoosier Hills Credit Union d/b/a Hoosier  Hills Title Company,Licensing  Violation,2009-01-09,$1040.00  Civil Penalty,6170-AG07-1221-322,https://www.in.gov/idoi/files/enforcement/6170-AG07-1221-322b.pdf
Hoosier Title Company,Failure  to Provide List of Appointments,2007-07-13,License  Suspension,5717-AG07-0711-164,https://www.in.gov/idoi/files/enforcement/5717-AG07-0711-164b.pdf
IN Title Company,Failure  to adhere to the Good Funds Law,2015-06-12,$500  Administrative Penalty,14304-AG15-0522-132,https://www.in.gov/idoi/files/enforcement/14304%20in%20title.pdf
Indiana Farmers Mutual Insurance Company,Unfair  Claim Settlement,2004-10-21,$500.00  fine,1632-IDOI-CO04-012,https://www.in.gov/idoi/files/enforcement/1632-IDOI-CO04-012b.pdf
Indiana Title Network Company,Failure  to enter RREAL transactions into database,2016-01-08,$17500.00  Penalty,14600-AG15-2010-303,https://www.in.gov/idoi/files/enforcement/14600-AG15-2010-303b.pdf
Indiana Title Network Company,Failure  to enter RREAL transactions into database,2019-08-16,$4350.00  Civil Penalty,18266-AG19-0709-089,https://www.in.gov/idoi/files/enforcement/18266-AG19-0709-089.pdf
